Year,Population,Country
2006,164022627,Pakistan
2006,298379912,United States
2007,1317885000,China
2007,1183209472,India
2007,232374245,Indonesia
2007,167808105,Pakistan
2007,301231207,United States
2008,1324655000,China
2008,1200669765,India
2008,235469762,Indonesia
2008,171648986,Pakistan
2008,304093966,United States
2009,1331260000,China
2009,1217726215,India
2009,238620563,Indonesia
2009,175525609,Pakistan
2009,306771529,United States
2010,1337705000,China
2010,1234281170,India
2010,241834215,Indonesia
2010,179424641,Pakistan
2010,309326085,United States
2011,1344130000,China
2011,1250288729,India
2011,245116206,Indonesia
2011,183340592,Pakistan
2011,311580009,United States
2012,1350695000,China
2012,1265782790,India
2012,248452413,Indonesia
2012,187281475,Pakistan
2012,313874218,United States
2013,1357380000,China
2013,1280846129,India
2013,251806402,Indonesia
2013,191262919,Pakistan
2013,316057727,United States
2014,1364270000,China
2014,1295604184,India
2014,255129004,Indonesia
2014,195306825,Pakistan
2014,318386421,United States
2015,1371220000,China
2015,1310152403,India
2015,258383256,Indonesia
2015,199426964,Pakistan
2015,320742673,United States
2016,1378665000,China
2016,1324509589,India
2016,261554226,Indonesia
2016,203627284,Pakistan
2016,323071342,United States
2017,1386395000,China
2017,1338658835,India
2017,264645886,Indonesia
2017,207896686,Pakistan
2017,325147121,United States
2018,1392730000,China
2018,1352617328,India
2018,267663435,Indonesia
2018,212215030,Pakistan
2018,327167434,United States
2019,1397715000,China
2019,1366417754,India
2019,270625568,Indonesia
2019,216565318,Pakistan
2019,328239523,United States
